Word,REMARK,Definition_Source_1,Definition_Source_2,Definition_Source_3,Food_Example,Unnamed: 6,merged_text,tfidf_cluster
combine,mixing,mix together,bring ingredients into one,blend thoroughly,combine flour and eggs,,mixing mix together bring ingredients into one blend thoroughly,4
dump,action,pour all at once,add quickly,transfer bulk ingredient,dump vegetables into pot,,action pour all at once add quickly transfer bulk ingredient,5
peel,shape change,remove skin or outer layer,skin fruit or vegetable,strip off covering,peel apples,,shape change remove skin or outer layer skin fruit or vegetable strip off covering,5
coat,coating,cover with layer,apply outer layer,encase ingredient,coat chicken with breadcrumbs,,coating cover with layer apply outer layer encase ingredient,5
dip,action,immerse briefly in liquid,soak partially,cover surface quickly,dip strawberries in chocolate,,action immerse briefly in liquid soak partially cover surface quickly,5
throw,action,add quickly,mix roughly,put in container,throw vegetables into pan,,action add quickly mix roughly put in container,5
fry,high heat cooking,cook in hot oil,cook in fat,high-heat method,fry eggs,,high heat cooking cook in hot oil cook in fat high-heat method,5
season,add flavor,add flavor,use spices or salt,enhance taste,season soup with pepper,,add flavor add flavor use spices or salt enhance taste,5
zest,?,grate outer peel of citrus,extract aromatic layer,add flavor,zest lemon over cake,,? grate outer peel of citrus extract aromatic layer add flavor,5
mince,cut item,cut into very small pieces,chop finely,reduce to tiny bits,mince onions,,cut item cut into very small pieces chop finely reduce to tiny bits,2
push,action,move by applying pressure,press forward,shift ingredient,push dough into pan,,action move by applying pressure press forward shift ingredient,5
chop,cut item,cut into pieces,divide roughly,cut ingredients,chop onions,,cut item cut into pieces divide roughly cut ingredients,2
separate,cut item,divide into parts,remove layers,split ingredient,separate egg yolk from white,,cut item divide into parts remove layers split ingredient,2
butter,apply,apply butter,add fat,spread over surface,butter the pan,,apply apply butter add fat spread over surface,5
slice,cut item,cut into flat pieces,divide food,make thin portions,slice bread,,cut item cut into flat pieces divide food make thin portions,2
wet,add water,moisten with liquid,add water or other liquid,prevent dryness,wet hands when shaping dough,,add water moisten with liquid add water or other liquid prevent dryness,5
sit,action,rest without disturbance,allow to stand,pause process,let dough sit for 10 minutes,,action rest without disturbance allow to stand pause process,5
save,action,keep for later,reserve portion,store ingredient,save leftover sauce,,action keep for later reserve portion store ingredient,5
wait,action,pause before next step,allow time to pass,delay action,wait for dough to rise,,action pause before next step allow time to pass delay action,5
wok,utensil,shallow pan for stir-frying,round-bottomed pan,high-heat cooking,use wok for stir-fry,,utensil shallow pan for stir-frying round-bottomed pan high-heat cooking,5
open,action,uncover or unfold,remove lid,expose ingredients,open jar of sauce,,action uncover or unfold remove lid expose ingredients,5
stew,slow heat cooking,cook slowly in liquid,simmer until tender,moist-heat method,stew beef for 2 hours,,slow heat cooking cook slowly in liquid simmer until tender moist-heat method,5
blend,mix high,mix thoroughly,combine ingredients smoothly,puree together,blend fruits for smoothie,,mix high mix thoroughly combine ingredients smoothly puree together,4
touch,action,handle lightly,test by hand,feel texture,touch dough gently,,action handle lightly test by hand feel texture,2
cool,cool item,lower temperature,allow to reach room temp,chill slightly,cool cake on rack,,cool item lower temperature allow to reach room temp chill slightly,3
toss,action,mix lightly by lifting,combine ingredients gently,shake to mix,toss salad,,action mix lightly by lifting combine ingredients gently shake to mix,4
cut,cut item,divide with knife,slice or chop,shape ingredients,cut vegetables,,cut item divide with knife slice or chop shape ingredients,2
taste,action,sample for flavor,check seasoning,test doneness,taste soup before serving,,action sample for flavor check seasoning test doneness,5
rest,action,let food stand,allow to settle,pause cooking,rest meat after roasting,,action let food stand allow to settle pause cooking,5
pre-heat,low heating,heat oven beforehand,warm appliance before use,prepare correct temperature,pre-heat oven to 180°c,,low heating heat oven beforehand warm appliance before use prepare correct temperature,5
cover,action,place lid on top,protect from heat or moisture,seal container,cover pot while simmering,,action place lid on top protect from heat or moisture seal container,5
stir-fry,high heat cooking,cook quickly in hot pan with oil,high-heat method,shake and move ingredients,stir-fry vegetables,,high heat cooking cook quickly in hot pan with oil high-heat method shake and move ingredients,5
pan-fry,high heat cooking,cook in shallow oil,medium-heat cooking,brown surface,pan-fry chicken,,high heat cooking cook in shallow oil medium-heat cooking brown surface,5
turn,action,flip or rotate,change side or orientation,move position,turn steak in pan,,action flip or rotate change side or orientation move position,5
remove,action,take away,extract ingredient,discard,remove skin from fish,,action take away extract ingredient discard,5
dry,remove liquid,eliminate moisture,remove water,make surface dry,dry washed lettuce,,remove liquid eliminate moisture remove water make surface dry,5
warm,low heating,increase temperature slightly,heat gently,keep at serving temp,warm soup,,low heating increase temperature slightly heat gently keep at serving temp,5
pour,action,transfer liquid,flow into container,add ingredient,pour batter into pan,,action transfer liquid flow into container add ingredient,5
note,action,observe or record,pay attention,mark details,note oven temperature,,action observe or record pay attention mark details,5
top,prepare,place on upper surface,add finishing layer,decorate,top cake with strawberries,,prepare place on upper surface add finishing layer decorate,5
heat,low heating,increase temperature,cook using warmth,apply energy,heat oil before sautéing,,low heating increase temperature cook using warmth apply energy,5
cook,action,prepare food with heat,apply heat to ingredients,transform raw to edible,cook pasta,,action prepare food with heat apply heat to ingredients transform raw to edible,5
place,action,put in position,set ingredient down,arrange on surface,place dough on tray,,action put in position set ingredient down arrange on surface,5
stir,mixing,mix by rotating,move ingredients around,prevent sticking,stir soup,,mixing mix by rotating move ingredients around prevent sticking,4
take,action,remove or pick up,carry away,grab ingredient,take pan off heat,,action remove or pick up carry away grab ingredient,5
put,action,place somewhere,set ingredient down,add to dish,put vegetables in pot,,action place somewhere set ingredient down add to dish,5
mix,mixing,combine ingredients,blend thoroughly,stir together,mix flour and sugar,,mixing combine ingredients blend thoroughly stir together,4
set,action,allow to firm,let rest until stable,fix shape,set jelly in fridge,,action allow to firm let rest until stable fix shape,5
add,action,include ingredient,introduce into mixture,combine with others,add salt to taste,,action include ingredient introduce into mixture combine with others,4
